ds,y,exp_mean,adaptive,mich
2007-01-01,2.075765178123423,0.8552394996051274,4.018789144050117,3.0
2007-02-01,2.420260782347028,1.251741637996925,3.63825363825363,3.0
2007-03-01,2.798197295943927,1.725634950455617,3.4179181771103018,3.0
2007-04-01,2.5929247633283525,1.87459268658436,3.613835828600931,3.3
2007-05-01,2.709885742672613,1.8211844939705222,3.9772727272727293,4.0
2007-06-01,2.692765113974227,2.350097503749001,4.1817243159525175,3.3
2007-07-01,2.3178905864958077,2.435704451255214,4.104669061056954,3.2
2007-08-01,1.897448478900876,1.8593967792401405,3.926568077511483,3.8
2007-09-01,2.8338264299802685,2.3396856305672262,2.012072434607637,3.1
2007-10-01,3.610698365527476,2.7407764886389154,1.4063284781516971,3.1
2007-11-01,4.373267326732666,3.231986294491634,1.9687026754164672,3.0
2007-12-01,4.108813392417532,3.5101535131907253,2.5239777889954462,2.9
2008-01-01,4.294695655165981,3.2113824927378904,2.075765178123423,3.0
2008-02-01,4.142959270611968,4.144525536006834,2.420260782347028,3.0
2008-03-01,3.9749035501344343,3.737788614295385,2.798197295943927,3.0
2008-04-01,3.9037609759888126,4.336011127946335,2.5929247633283525,3.3
2008-05-01,4.088413823123993,4.568119117603697,2.709885742672613,3.3
2008-06-01,4.935966105947864,4.950315499128223,2.692765113974227,3.4
2008-07-01,5.497512078341837,4.6478629749468094,2.3178905864958077,3.4
2008-08-01,5.308017162091239,3.776731574487382,1.897448478900876,3.2
2008-09-01,4.953319875136075,3.2549393671224167,2.8338264299802685,3.1
2008-10-01,3.7310578899565128,2.4655644164455275,3.610698365527476,3.1
2008-11-01,1.0999174706166848,0.8209371400924096,4.373267326732666,3.4
2008-12-01,-0.02222800255385904,-0.6157088811158948,4.108813392417532,3.4
2009-01-01,-0.11358601902212717,-0.7317004005226831,4.294695655165981,3.4
2009-02-01,0.008463140671510772,-0.9490088319639519,4.142959270611968,3.6
2009-03-01,-0.4464787676623838,-1.6615160326210645,3.9749035501344343,4.3
2009-04-01,-0.5763244243767063,-1.4880819241313328,3.9037609759888126,4.8
2009-05-01,-1.015761495855172,-1.58134496258286,4.088413823123993,5.2
2009-06-01,-1.2291746182109153,-1.451192597923231,4.935966105947864,5.1
2009-07-01,-1.9587610037622771,-2.067628008070967,5.497512078341837,5.1
2009-08-01,-1.4838355663267633,-2.147191844508073,5.308017162091239,4.8
2009-09-01,-1.377942862886472,-2.592393025196132,4.953319875136075,4.3
2009-10-01,-0.22396829420033848,-2.0323229460332537,3.7310578899565128,3.9
2009-11-01,1.9145871744709275,-1.0899024085627786,1.0999174706166848,2.9
2009-12-01,2.8141231232083674,-0.4756588649162669,-0.02222800255385904,1.7
2010-01-01,2.6211113889767157,0.31433845232158963,-0.11358601902212717,2.2
2010-02-01,2.151336357866529,0.8620466659697879,0.008463140671510772,1.9
2010-03-01,2.2861714393279886,1.344045606692244,-0.4464787676623838,2.0
2010-04-01,2.2067707525304403,1.837215117822469,-0.5763244243767063,2.8
2010-05-01,2.003548929218568,1.8254818942932611,-1.015761495855172,2.8
2010-06-01,1.1215605940686268,2.04694855836974,-1.2291746182109153,3.1
2010-07-01,1.3407784804821077,2.556491585337323,-1.9587610037622771,2.9
2010-08-01,1.1501775395112546,1.8559907957363393,-1.4838355663267633,2.8
2010-09-01,1.1183122472331775,2.1977403775520297,-1.377942862886472,2.2
2010-10-01,1.1666951489314625,2.323868271971918,-0.22396829420033848,2.9
2010-11-01,1.084544776600338,2.413948839044292,1.9145871744709275,2.7
2010-12-01,1.437793022217937,2.486093210612968,2.8141231232083674,2.5
